,stid,Surface height from combined measurements,Surface height from combined measurements DELTA,Ablation,Melting Season,PC1,PC2,PC3,PC4
59,SCO_L,-8.405375000000001,-0.0440000000000004,True,middle,-0.7561577650449212,0.581191279679937,0.018005111711977932,-0.23798194237560857
60,SCO_L,-8.444374999999999,-0.016,True,middle,-0.5665696866678691,-0.851365340020844,-0.5858176472585543,-0.09351370953599826
61,SCO_L,-8.470625,-0.0519999999999996,True,middle,-0.8247465600479348,0.39216918346425866,0.2960372532154886,-0.18752948432221145
62,SCO_L,-8.523583333333333,-0.0570000000000003,True,middle,-0.7389507989216205,0.612493259107839,0.3801130008234518,-0.18275596090596988
63,SCO_L,-8.583708333333334,-0.0519999999999996,True,middle,-0.7203767962729789,0.648470789985656,0.34292639670653785,-0.20362980266621344
64,SCO_L,-8.644458333333334,-0.0609999999999999,True,middle,-0.7766762292335104,0.4834591143386952,0.45794959426525195,-0.20730428185872624
65,SCO_L,-8.703708333333333,-0.0500000000000006,True,middle,-0.8287690851038576,-0.340632283276626,-0.10964539587161658,-0.0971988583987892
66,SCO_L,-8.749833333333333,-0.0350000000000001,True,middle,-0.7529672650901788,-0.6409915008089516,-0.4773245638293501,-0.12183951728526983
67,SCO_L,-8.781958333333334,-0.0619999999999993,True,middle,-0.885368487482476,-0.1953038665052913,-0.012129591808535187,-0.17475710063944813
68,SCO_L,-8.830958333333333,-0.048,True,middle,-0.864312472993479,0.2623431074971961,0.18136950032789317,-0.20284024249121124
69,SCO_L,-8.880666666666666,-0.0510000000000001,True,middle,-0.6428671207591758,0.7784164309034781,0.21317740946607372,-0.26707197442315556
70,SCO_L,-8.937958333333333,-0.0720000000000009,True,middle,-0.8240255579719483,0.4351164569638492,0.13407983440226343,-0.222934566446829
71,SCO_L,-9.001791666666668,-0.0459999999999993,True,middle,-0.7796480027488296,0.5362140259442206,0.20532351794841724,-0.22290419923692936
72,SCO_L,-9.0525,-0.0559999999999991,True,middle,-0.8696758484482393,0.2582711454247864,0.16758420580437292,-0.18331213473950414
73,SCO_L,-9.103083333333332,-0.0410000000000003,True,middle,-0.8474312528296591,0.34875880704044476,0.1775480384325265,-0.2009543197388162
74,SCO_L,-9.159166666666666,-0.0490000000000012,True,middle,-0.878850937747736,0.2531634713914861,-0.08283279842655845,-0.21000590916242384
75,SCO_L,-9.203083333333334,-0.0449999999999999,True,middle,-0.8758807589229367,0.30638314115823606,-0.27919241019967955,-0.2063284858773272
76,SCO_L,-9.251666666666669,-0.0499999999999989,True,middle,-0.8782134204014582,0.29717876394798737,-0.2659571163326229,-0.24176635687941728
77,SCO_L,-9.298625,-0.0429999999999992,True,middle,-0.752065010566478,0.5692078190637935,-0.12158761230377282,-0.147798794315088
78,SCO_L,-9.344583333333333,-0.0370000000000008,True,middle,-0.6203681330887088,0.7804462091046698,0.15126975797133088,-0.0839886954066738
79,SCO_L,-9.384708333333334,-0.048,True,middle,-0.6748049526759518,0.716266263218386,0.3060931643929488,-0.08775043135829852
80,SCO_L,-9.432166666666664,-0.0370000000000008,True,middle,-0.6609000104991185,0.7438758762911226,0.182544295617758,-0.16535993765395235
81,SCO_L,-9.479333333333331,-0.0539999999999984,True,middle,-0.7971854096651809,0.4891463198622647,0.13466310006043491,-0.1770809705947689
82,SCO_L,-9.530416666666667,-0.0450000000000017,True,middle,-0.850479528377071,0.32222880399458753,0.06563463105498542,-0.1641025934407359
83,SCO_L,-9.574208333333331,-0.0399999999999991,True,middle,-0.8750254543758933,0.2570151853707593,-0.13977522930803818,-0.12012317175535779
84,SCO_L,-9.6145,-0.0199999999999995,True,middle,-0.8898724760574089,-0.43695426139679655,-0.6263009509254572,-0.0639149951784427
85,SCO_L,-9.637291666666668,-0.0379999999999984,True,middle,-0.9364877944084943,0.1388404642373375,-0.5225860952140087,-0.15815468844217548
86,SCO_L,-9.670125,-0.0350000000000001,True,middle,-0.678020158877661,0.6927691592905391,-0.03732155739999806,-0.0851567947469472
87,SCO_L,-9.705708333333334,-0.0339999999999989,True,middle,-0.5556880311878655,0.8554206411762153,0.10264551554430129,-0.08128207477380983
88,SCO_L,-9.740791666666668,-0.0340000000000006,True,middle,-0.6646117165931605,0.7274100503970026,-0.0199936638081981,-0.21282612942492965
89,SCO_L,-9.787666666666668,-0.0470000000000006,True,middle,-0.6874855803950093,0.6893789187968867,-0.19825358989987435,-0.2784025097812128
90,SCO_L,-9.833708333333332,-0.0600000000000005,True,middle,-0.7317893206014898,0.6367193936788236,0.040305993550341555,-0.28475301929919633
